ID,Year,Work,Authors,Research stream,Core mechanism / contribution,Formalism / representation,Policy source,Uniqueness,Source-supported limitations,Reviewer-inferred limitations,Agent-security relevance,Relationship to Conflux,Conflux impact,Novelty impact,Priority,Review status,Claim-safe status,Primary/source URL,Connected IDs,Connected works,Recommended Conflux use,Full-review questions,Audit basis
N008,2000,Protecting Privacy Using the Decentralized Label Model,Andrew C. Myers; Barbara Liskov,Decentralized information-flow control,"Extended treatment and language implementation of the decentralized label model, with static checking and decentralized declassification.",DLM + Jif type system,Owners/readers and principal authority embedded in labels,Connects decentralized IFC semantics to a practical static language system.,Requires programs that can be statically checked; not aimed at opaque nondeterministic LLM components.,A direct port to LLM agents would either overtaint aggressively or require trusted semantic abstractions around model calls.,Shows practical principal-centric IFC and declassification in a programming language.,Useful contrast for why Conflux treats the LLM as an opaque influence amplifier and mediates effects instead of verifying internal flow.,Useful contrast for why Conflux treats the LLM as an opaque influence amplifier and mediates effects instead of verifying internal flow.,High,High,Verified bibliographic/primary lineage,Publication-safe metadata,https://dblp.org/rec/journals/tosem/MyersL00.html,N007; N010; N011; N012,DLM; robust declassification; NMIFC; FLAM,Explain relation between program IFC and opaque-LLM system enforcement.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N009,2001,Robust Declassification,Steve Zdancewic; Andrew C. Myers,Information-flow control / attacker influence,Defines robust declassification so attackers cannot influence what confidential information is declassified.,Semantic IFC security condition,Declassification authority and information-flow policy,Makes confidentiality release depend explicitly on integrity/control of the declassification decision.,"Targets declassification of information, not general tool/action authority or organizational permissions.","Agent effects often combine integrity, authority and confidentiality; one declassification condition alone will not capture all harms.",Highly relevant to attacker influence over release decisions and to visibility/declassification semantics.,Strong conceptual precursor to “low-integrity influence must not cause higher-authority effects”; should inform visibility and confidential output rules.,Strong conceptual precursor to “low-integrity influence must not cause higher-authority effects”; should inform visibility and confidential output rules.,Critical,Critical,Verified bibliographic,Publication-safe metadata,https://dblp.org/rec/conf/csfw/ZdancewicM01.html,N007; N011; N012; L024,DLM; nonmalleable IFC; FLAM; contextual manipulation,Use to ground attacker-influence/declassification comparisons rather than inventing this intuition anew.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N010,2017,Nonmalleable Information Flow Control,Ethan Cecchetti; Andrew C. Myers; Owen Arden,Information-flow control / integrity and downgrading,"Unifies robust declassification and transparent endorsement in nonmalleable information flow, controlling both confidentiality and integrity downgrades.",Semantic property + security type system,Information-flow labels and controlled downgrading authority,Provides a dual treatment of confidentiality and integrity downgrading with compositional security guarantees.,Static typed-language setting; not an organizational ACS or tool-action policy system.,Applying NMIFC to LLM outputs still requires deciding what structured facts/actions count as trusted endorsement.,Directly relevant to trusted endorsement/declassification operations that can otherwise remove taint or amplify low-integrity data.,"Important for any “trusted provenance removal”, endorsement, summarization, or privileged-instruction feature.","Important for any “trusted provenance removal”, endorsement, summarization, or privileged-instruction feature.",High,High,Verified primary,Publication-safe metadata,https://www.cs.cornell.edu/andru/papers/nmifc/,N009; N012; N013; L025,Robust declassification; FLAM; FLAC; PACT,Security conditions for provenance downgrading/endorsement extensions.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N011,2014,Flow-Limited Authorization (FLAM),Owen Arden; Jed Liu; Andrew C. Myers,Authorization + information-flow control,"Integrates authorization and IFC and introduces robust authorization, ensuring attackers cannot improperly influence authorization decisions or learn confidential trust relationships.",Principal lattice / authorization logic / information-flow order,Delegation/authorization relationships and information-flow authority,Unifies authorization and IFC instead of treating access decisions and information flow as separate subsystems.,Not designed for natural-language agent actions or provenance derived from arbitrary documents/tool outputs.,Its abstract principal algebra may be richer but less directly mappable to provider ACSs than Conflux’s intended adapter model.,Extremely close theoretical neighbor combining who may act with who may influence/learn authorization decisions.,Mandatory novelty boundary: Conflux cannot claim first integration of authorization and information-flow ideas; it must explain Principal Context/ACS mapping and LLM-specific threat model.,Mandatory novelty boundary: Conflux cannot claim first integration of authorization and information-flow ideas; it must explain Principal Context/ACS mapping and LLM-specific threat model.,Critical,Critical,Verified primary,Publication-safe metadata,https://www.cs.cornell.edu/andru/papers/flam/,N007; N009; N010; N013; L016,DLM; robust declassification; NMIFC; FLAC; IFC agent defense,Core classical comparator for Principal Context semantics.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N012,2016,A Calculus for Flow-Limited Authorization (FLAC),Owen Arden; Andrew C. Myers,Authorization + information-flow control,A language/calculus for securely implementing dynamic authorization mechanisms with noninterference and robust declassification guarantees.,Typed functional calculus,Dynamic authorization mechanisms expressed in the language,Verifies authorization implementations by construction while supporting policy changes and rich decentralized mechanisms.,Requires implementing mechanisms in the restricted calculus; not a general verifier for arbitrary Python/agent frameworks.,Production Conflux adapters would still require refinement/conformance evidence from the formal core to effectful providers.,Shows dynamic authorization mechanisms themselves can be subject to information-flow verification.,Relevant to making the verified transition kernel executable rather than separately modelling the implementation.,Relevant to making the verified transition kernel executable rather than separately modelling the implementation.,High,High,Verified primary,Publication-safe metadata,https://privacytools.seas.harvard.edu/publications/calculus-flow-limited-authorization,N011; L034; L036,FLAM; Principles of Model Checking; IC3,Formal-kernel architecture and authorization/IFC verification lineage.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N013,2012,A Provenance-Based Access Control Model,Jaehong Park; Dang Nguyen; Ravi S. Sandhu,Provenance-based access control,Uses provenance information and dependency paths as attributes for access-control decisions.,Provenance graph/path patterns + access-control model,Policies over provenance attributes/relationships,Makes provenance a first-class source of authorization conditions rather than merely an audit record.,Data provenance is used to decide resource access; the work does not model adversarial semantic influence of data on LLM-generated actions.,General provenance policies can be highly application-specific; Conflux’s universal intersection rule is simpler but more conservative.,Direct prior art for “authorization decisions depend on provenance.”,Critical novelty constraint: provenance-based access control predates LLM agents. Conflux must specify the novel provenance semantics and authority rule.,Critical novelty constraint: provenance-based access control predates LLM agents. Conflux must specify the novel provenance semantics and authority rule.,Critical,Critical,Verified bibliographic,Publication-safe metadata,https://dblp.org/rec/conf/pst/ParkNS12.html,N014; L023; N001,Secure PBAC cloud work; FORGE; history-based access control,Mandatory PBAC subsection; explicitly distinguish data lineage policy from influencing-principal authority.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N014,2013,Towards Secure Provenance-Based Access Control in Cloud Environments,Adam Bates; Kevin Butler; Thomas Moyer; Patrick McDaniel; Michael Hicks,Provenance-based access control / cloud security,"Secures provenance collection and uses provenance attributes for access decisions in distributed cloud environments, with prototype performance evaluation.",Secure provenance graph + policy decision point,Policies over provenance attributes,Combines secure provenance infrastructure with enforcement in a real cloud deployment.,"Focuses on data/cloud operations, not opaque model reasoning or prompt injection.",A production Conflux deployment faces the same trustworthy-provenance and instrumentation problem at tool/MCP/service boundaries.,Shows practical provenance-mediated authorization with provider boundaries and tamper concerns.,Strong systems precedent for provenance TCB and policy enforcement; useful for production provenance architecture.,Strong systems precedent for provenance TCB and policy enforcement; useful for production provenance architecture.,High,High,Verified primary PDF,Publication-safe metadata,https://adambates.org/documents/Bates_Codaspy13.pdf,N013; L023; L038,PBAC model; FORGE; Zanzibar,Production provenance and trusted-computing-base discussion.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N015,1994,Assisting Requirement Formalization by Means of Natural Language Translation,Alessandro Fantechi; Stefania Gnesi; Gioia Ristori; Michele Carenini; Massimo Vanocchi; Paolo Moreschini,Natural-language autoformalization / requirements,NL2ACTL prototype translates natural-language behavioral requirements into ACTL temporal-logic formulae to assist reactive-system formalization.,Natural language -> ACTL temporal logic,Informal natural-language requirements,Demonstrates NL-to-temporal-logic translation decades before LLM autoformalization.,Restricted domain and older NLP; translation correctness and ambiguity remain central.,Security policy mistranslation is more dangerous than ordinary requirements mistranslation because omissions can silently create authority.,Early autoformalization predecessor relevant to compiling prose security requirements into checkable specifications.,Moves the autoformalization lineage back to the early 1990s; modern Cedar work is not the beginning of the field.,Moves the autoformalization lineage back to the early 1990s; modern Cedar work is not the beginning of the field.,High,High,Verified bibliographic,Publication-safe metadata,https://dblp.dagstuhl.de/rec/journals/fmsd/FantechiGRCVM94.html,N016; N018; N019; N020; N021; L026,Attempto; policy refinement; FRET; nl2spec; LLM autoformalization; Cedar autoformalization,Historical start of autoformalization section.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N016,1996,Attempto Controlled English (ACE),Norbert E. Fuchs; Rolf Schwitter,Controlled natural language / executable specification,"Controlled English with restricted grammar translated unambiguously into discourse representations and Prolog for querying, simulation, and validation.",Controlled English -> logic/Prolog,Domain specialists writing constrained natural language,Uses controlled natural language as a human-friendly textual view of formal executable specifications.,Users must learn and remain inside the controlled grammar; expressiveness and naturalness are intentionally constrained.,"For organizational policy, controlled-language authoring may be more deployable than unrestricted NL when the policy is security-critical.",High-assurance alternative to free-form LLM policy translation.,Provides a design alternative: controlled policy authoring can reduce reliance on probabilistic translation.,Provides a design alternative: controlled policy authoring can reduce reliance on probabilistic translation.,Moderate,High,Verified primary/bibliographic,Publication-safe metadata,https://arxiv.org/abs/cmp-lg/9603003,L010; N015; N019; L026,Controlled NL access policy; NL2ACTL; FRET; Cedar autoformalization,Policy acquisition design space and safe alternative to opaque autoformalization.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N017,2004,A Goal-Based Approach to Policy Refinement,Arosha Bandara; Emil Lupu; Jonathan Moffett; Alessandra Russo,Policy refinement / requirements to enforcement,Derives implementable policies from high-level goals using goal refinement and system-model information.,Goal refinement / formal policy transformation,High-level policy goals plus system model,Targets the missing step from high-level goals to implementable policies rather than only policy analysis.,Requires a sufficiently complete system model and formal goal structure; refinement correctness remains the central challenge.,LLM-based refinement may reduce authoring cost but does not eliminate the need to validate the mapping from goals to concrete tool arguments/resources.,Direct predecessor to compiling organizational goals into runtime policies.,Important bridge between Ponder-era policy engineering and modern agent autoformalization.,Important bridge between Ponder-era policy engineering and modern agent autoformalization.,High,High,Verified bibliographic,Publication-safe metadata,https://doi.org/10.1109/POLICY.2004.1309175,L002; L004; L009; N015; L026,Ponder; policy specification survey; data-integration refinement; NL2ACTL; Cedar autoformalization,Policy-refinement lineage and discussion of semantic fidelity.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N018,2020,Formal Requirements Elicitation with FRET,Dimitra Giannakopoulou; Thomas Pressburger; Anastasia Mavridou; Julian Rhein; Johann Schumann; Nija Shi,Controlled requirements / formalization,"FRETISH restricted natural language has precise semantics, is explained through diagrams/text, translated to temporal logics, and interactively simulated to validate intended meaning.",Structured NL -> future/past temporal logic,Human-authored structured requirements,"Treats understanding and debugging the formalization as a first-class requirement, not just automatic translation.",Requires structured input and model mappings; not designed specifically for authorization policies.,Conflux policy tooling should emulate FRET’s bidirectional explanations and simulation rather than silently accepting generated Cedar.,Strong pattern for human-in-the-loop validation of generated formal policy semantics.,Potential design template for a policy compiler UI with reviewable semantics and counterexamples.,Potential design template for a policy compiler UI with reviewable semantics and counterexamples.,Moderate,High,Verified NASA primary,Publication-safe metadata,https://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/20200001989.pdf,N015; N016; N019; L026,NL2ACTL; ACE; nl2spec; Cedar autoformalization,Human validation workflow for autoformalized policy.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N019,2023,nl2spec: Interactively Translating Unstructured Natural Language to Temporal Logics with Large Language Models,Nianjun Zhou; A. et al.,LLM autoformalization / requirements,Uses LLMs to translate unstructured requirements to temporal logic and maps formal subformulae back to source fragments for interactive correction.,Natural language -> temporal logic with alignment,Unstructured natural-language requirements,"Makes subformula-to-text alignment part of the correction loop, directly addressing ambiguity.",Interactive correction is still required; correctness depends on user review and the expressiveness of the target logic.,Security policy compilers should preserve source-to-formula provenance so reviewers can audit every authority-bearing clause.,"Very relevant architecture for traceable, human-correctable policy/specification compilation.",Strong method precedent for policy autoformalization provenance and reviewability.,Strong method precedent for policy autoformalization provenance and reviewability.,High,High,Verified primary metadata; author list to verify before publication citation,Publication-safe metadata,https://link.springer.com/chapter/10.1007/978-3-031-37703-7_18,N018; N021; L026,FRET; LLM autoformalization; Cedar autoformalization,Source-linked policy compilation and human review design.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N020,2022,Autoformalization with Large Language Models,Yuhuai Wu; Albert Q. Jiang; Wenda Li; Markus N. Rabe; Charles Staats; Mateja Jamnik; Christian Szegedy,LLM autoformalization / theorem proving,Few-shot LLM translation from informal mathematical statements to Isabelle/HOL formalizations; demonstrates usefulness but imperfect exact formalization.,Natural-language mathematics -> Isabelle/HOL,Informal mathematical statements,Early influential demonstration that large pretrained models can perform nontrivial formalization without task-specific supervised translators.,Reported perfect formalization is only a subset; mathematical statements differ from ambiguous organizational policies.,Formal typechecking/proof of generated policy does not establish semantic equivalence to source prose.,"General modern autoformalization evidence: LLMs can generate formal objects, but exact semantic correctness is far from guaranteed.",General methodological predecessor to LLM policy compilers; supports explicit semantic-validation boundaries.,General methodological predecessor to LLM policy compilers; supports explicit semantic-validation boundaries.,Moderate,Medium,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2205.12615,N019; L026; N018,nl2spec; Cedar autoformalization; FRET,General autoformalization limitations and terminology.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N021,2025,AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,Haoyu Wang; Christopher M. Poskitt; Jun Sun,Agent runtime policy / DSL,"Lightweight DSL with triggers, predicates and enforcement actions; applies rules at runtime across code, embodied, and autonomous-driving agents; also evaluates LLM-generated rules.",Domain-specific rule language + runtime monitor,Human-authored or LLM-generated rules,Generalizes a compact enforcement DSL across very different agent domains and multiple enforcement strategies.,Coverage depends on rule quality and instrumentation; generated-rule recall is imperfect; some enforcement strategies re-invoke the LLM.,A rule DSL can block specified hazards but does not automatically derive least authority from provenance or existing organizational permissions.,Direct comparator for customizable deterministic agent guardrails and rule auto-generation.,Conflux cannot claim general runtime DSL enforcement or LLM-generated safety rules as novel; Principal Context can serve as a non-optional lower layer beneath AgentSpec-style rules.,Conflux cannot claim general runtime DSL enforcement or LLM-generated safety rules as novel; Principal Context can serve as a non-optional lower layer beneath AgentSpec-style rules.,High,High,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2503.18666,L018; L023; N023; N024,Progent; FORGE; solver-aided policy; symbolic guardrails,Direct modern policy-enforcement comparator.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N022,2026,Solver-Aided Verification of Policy Compliance in Tool-Augmented LLM Agents,Cailin Winston; Claris Winston; René Just,Agent policy formalization / SMT runtime checking,Human-guided LLM translation of natural-language tool policies into SMT constraints over observable state and arguments; intercepts tool calls and checks Z3 preconditions.,SMT-LIB constraints / Z3,"Natural-language operational policy, LLM-assisted and human-guided",Makes solver-backed formal constraints a precondition for agent tool calls while explicitly incorporating human guidance in formalization.,"Guarantees apply to encoded constraints and modeled observable state, not faithful translation of prose; evaluation remains benchmark-based.",Incomplete state observability or omitted tool effects can make formally correct constraints insufficient.,"Direct neighbor combining autoformalization, argument-level checks and deterministic runtime enforcement.",Mandatory comparator for Cedar/policy compiler work and SLED-V; Conflux distinction should be ACS-derived hard invariant plus defence-level verification.,Mandatory comparator for Cedar/policy compiler work and SLED-V; Conflux distinction should be ACS-derived hard invariant plus defence-level verification.,Critical,Critical,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2603.20449,L026; L023; N024; L025,Cedar autoformalization; FORGE; symbolic guardrails; PACT,Direct 2026 formal-policy/runtime comparison.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N023,2026,Symbolic Guardrails for Domain-Specific Agents: Stronger Safety and Security Guarantees Without Sacrificing Utility,Yining Hong; Yining She; Eunsuk Kang; Christopher S. Timperley; Christian Kästner,Agent symbolic guardrails / benchmark policy analysis,"Systematic review of 80 agent safety/security benchmarks, classifies concrete policies and tests which can be enforced with symbolic guardrails; evaluates utility/security effects.",Symbolic pre/post-condition style guardrails; policy taxonomy,Benchmark/domain policies,"Combines literature-scale policy extraction with an empirical enforceability study, not just a new guardrail.",Only specified/observable policies are amenable to symbolic enforcement; many benchmarks lack concrete policies.,"The remaining unsymbolizable requirements may need model judgement, human review, or richer state semantics, and should not be conflated with hard guarantees.",Direct evidence about how much agent safety policy is expressible as deterministic symbolic enforcement.,Important for scoping what Conflux policy layers can guarantee and for justifying a split between hard Principal Context invariants and softer safety layers.,Important for scoping what Conflux policy layers can guarantee and for justifying a split between hard Principal Context invariants and softer safety layers.,Critical,Critical,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2604.15579,N021; N022; L020; L021,AgentSpec; solver-aided verification; design patterns; critical benchmark evaluation,Policy enforceability taxonomy and evaluation baseline.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N024,2026,AgentRFC: Security Design Principles and Conformance Testing for Agent Protocols,Shenghan Zheng; Qifan Zhang,Agent protocol formal verification / conformance,"Defines an agent protocol stack and security principles as TLA+ invariants; compiles protocol clauses to a typed IR, model-checks them, and replays counterexamples against SDKs.",Protocol IR -> TLA+ invariants + executable conformance tests,Normative protocol specifications plus hardening principles,Source-links formal checks to protocol clauses and distinguishes protocol non-conformance from additional hardening requirements.,Targets protocol specifications rather than agent authorization semantics; correctness still depends on clause extraction/modeling.,LLM-assisted extraction of normative clauses itself becomes a translation boundary requiring evidence.,Very close methodological precedent to SLED-Conform: formal model plus replay against implementation.,"Conflux should acknowledge this as direct precedent for counterexample replay/conformance; SLED-V novelty must be in defence semantics, properties, or reductions rather than the general workflow.","Conflux should acknowledge this as direct precedent for counterexample replay/conformance; SLED-V novelty must be in defence semantics, properties, or reductions rather than the general workflow.",Critical,Critical,Verified primary/author manuscript listing,Publication-safe metadata,https://www.alphaxiv.org/abs/2603.23801,N025; L034; L036; L023,AgentThread; model checking; IC3; FORGE,Mandatory SLED-V/conformance related work.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N025,2026,Formal Security Analysis of Agent Protocol Composition (AgentThread),Shenghan Zheng; Qifan Zhang; Zheng Zhang; Haonan Li; Christophe Hauser,Agent protocol composition / formal verification,"Extends source-linked protocol verification to composition, identifying specification, implementation, and cross-protocol responsibility gaps using TLA+ and replay tests.",TLA+ invariants + SDK tests,Protocol specs and composition responsibilities,Explicitly demonstrates that individually secure protocol properties can fail under composition and classifies responsibility gaps.,Protocol-level focus; does not provide a general organizational authorization or provenance model.,Composition results can depend on environment/adapters beyond the protocol abstraction.,Relevant to multi-agent/multi-protocol Conflux deployments and compositional verification.,Supports compositional SLED-V and provider/MCP adapter verification; not a direct competitor to Principal Context.,Supports compositional SLED-V and provider/MCP adapter verification; not a direct competitor to Principal Context.,High,High,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2606.28690,N024; L034; L023,AgentRFC; model checking; FORGE,Multi-agent/protocol composition and implementation-conformance section.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N026,2024,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,Edoardo Debenedetti; Jie Zhang; Mislav Balunović; Luca Beurer-Kellner; Marc Fischer; Florian Tramèr,Agent-security benchmark / prompt injection,"Extensible tool environment with realistic tasks, security test cases, attacks and defenses for agents operating on untrusted data.",Executable benchmark environment,Task/security specifications in benchmark suites,Dynamic benchmark designed for adaptive attacks/defenses rather than a fixed prompt dataset.,Finite tasks/attacks cannot prove universal security; metrics depend on benchmark task construction and attack implementations.,Adding ACS/provenance annotations is necessary before it can directly test Conflux’s PE property.,Primary empirical benchmark for Conflux real-model security/utility comparisons.,"Complement to SLED-V; use for ecological validity and utility, not as replacement for formal guarantees.","Complement to SLED-V; use for ecological validity and utility, not as replacement for formal guarantees.",Low,High,Verified primary,Publication-safe metadata,https://proceedings.neurips.cc/paper_files/paper/2024/file/97091a5177d8dc64b1da8bf3e1f6fb54-Paper-Datasets_and_Benchmarks_Track.pdf,L021; N027; N028; L017,Critical benchmark evaluation; InjecAgent; ASB; CaMeL,Empirical benchmark integration and external validity.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N027,2024,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,Qiusi Zhan; Zhixiang Liang; Zifan Ying; Daniel Kang,Agent-security benchmark / indirect prompt injection,"1,054 indirect prompt injection cases spanning 17 user tools and 62 attacker tools, covering direct harm and private-data exfiltration.",Executable benchmark/test cases,Benchmark task and attack definitions,Systematic tool-integrated IPI benchmark with explicit attacker/user tool split.,Finite attacks and tool templates; success does not establish system-level guarantee or organizational authorization semantics.,Attack success labels can diverge from Conflux PE labels when an attacker-induced action is nevertheless authorized.,Large attack corpus useful for testing model-level robustness layered above Conflux.,Useful empirical attack source but requires ACS/provenance relabeling for security semantics.,Useful empirical attack source but requires ACS/provenance relabeling for security semantics.,Low,Medium,Verified primary,Publication-safe metadata,https://aclanthology.org/2024.findings-acl.624/,N026; N028; L021,AgentDojo; ASB; critical defense evaluation,Attack corpus / benchmark conversion work.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N028,2025,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,Hanrong Zhang; Jingyuan Huang; Kai Mei; Yifei Yao; Zhenting Wang; Chenlu Zhan; Hongwei Wang; Yongfeng Zhang,Agent-security benchmark / broad attack surface,"Benchmarks multiple attack/defense types across 10 scenarios, over 400 tools, 13 LLM backbones and seven metrics, including prompt injection, memory poisoning and backdoors.",Benchmark framework and attack/defense taxonomy,Scenario/task definitions,Broad attack-stage and defense coverage across diverse agent environments.,Benchmarks observed model/agent behavior; does not provide formal guarantee or a canonical ACS/provenance model.,Breadth makes semantic alignment with Conflux’s precise PE/confidentiality properties nontrivial.,Useful broad empirical testbed for non-prompt-injection threats and memory/persistence.,Useful complementary empirical suite; SLED/SLED-V should map outcomes carefully instead of comparing aggregate ASR blindly.,Useful complementary empirical suite; SLED/SLED-V should map outcomes carefully instead of comparing aggregate ASR blindly.,Low,Medium,Verified primary,Publication-safe metadata,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5750f91d8fb9d5c02bd8ad2c3b44456b-Abstract-Conference.html,N026; N027; L021,AgentDojo; InjecAgent; critical defense evaluation,Broad external benchmark and persistent-memory attack coverage.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N029,1987,A Comparison of Commercial and Military Computer Security Policies (Clark-Wilson),David D. Clark; David R. Wilson,Integrity / commercial security policy,"Argues commercial systems require integrity policies distinct from confidentiality lattices, emphasizing well-formed transactions, constrained data, and separation of duties.",Integrity policy model / constrained transformations,Commercial organizational procedures and integrity rules,Canonical formalization of commercial data integrity and separation-of-duty concerns.,"Does not model information provenance, contextual privacy, or probabilistic decision components.",An action may be authorized for all influencers yet violate transaction integrity or separation-of-duty rules.,Important reminder that preventing unauthorized authority is not equivalent to preserving integrity or valid business workflows.,Supports keeping a separate safety/integrity policy layer beyond the PE theorem.,Supports keeping a separate safety/integrity policy layer beyond the PE theorem.,Moderate,High,Verified bibliographic,Publication-safe metadata,https://dblp.org/rec/conf/sp/ClarkW87,N030; N006; L040,Chinese Wall; UCON; policy conflicts,Classical integrity boundary around PE security objective.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N030,1989,The Chinese Wall Security Policy,David F. C. Brewer; Michael J. Nash,History-based commercial confidentiality,"Access decisions depend on prior accesses/conflict-of-interest classes, giving a dynamic policy not expressible by simple static Bell-LaPadula labels.",History-dependent access-control model,Conflict-of-interest organizational policy,Canonical dynamic commercial policy where access history changes future permissible accesses.,Narrow conflict-of-interest scenario; no causal influence or action-generation model.,Agent planning must preserve history-dependent constraints across sessions and parallel branches.,Classical precedent for authorization depending on execution/history and organizational context.,Useful for demonstrating that the ACS may itself be history-dependent; Principal Context should query current policy rather than assume static permissions.,Useful for demonstrating that the ACS may itself be history-dependent; Principal Context should query current policy rather than assume static permissions.,Moderate,High,Verified bibliographic,Publication-safe metadata,https://dblp.dagstuhl.de/rec/conf/sp/BrewerN89.html,N001; N029; N006,History-based access control; Clark-Wilson; UCON,Dynamic ACS/history examples and SLED-V environment state.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N031,1977,Integrity Considerations for Secure Computer Systems (Biba),Kenneth J. Biba,Integrity / information-flow control,Formal integrity policies prevent low-integrity subjects/data from improperly modifying high-integrity objects.,Integrity levels/lattice-style policies,System integrity classification,"Canonical integrity dual to confidentiality models, emphasizing contamination of trusted state by lower-integrity sources.",Coarse security levels and system subjects/objects; not principal-specific organizational permissions.,"Principal Context is more identity/permission-specific than a scalar integrity lattice, but the contamination intuition is not new.",Foundational low-integrity influence concept closely related to untrusted content affecting privileged effects.,Important foundational citation when describing influence contamination and monotonic authority reduction.,Important foundational citation when describing influence contamination and monotonic authority reduction.,High,High,Verified secondary/primary-report metadata,Needs citation verification before publication,https://www.researchgate.net/publication/235043659_Integrity_Considerations_for_Secure_Computer_Systems,N007; N009; L016,DLM; robust declassification; IFC agent defense,Integrity lineage for influence tracking.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N032,1976,A Lattice Model of Secure Information Flow,Dorothy E. Denning,Information-flow control foundations,Formalizes secure information flow over a lattice of security classes and motivates mechanisms/program certification to enforce the permitted flow relation.,Security lattice / flow relation,Security classification lattice,Unifying mathematical treatment of secure flows across security classes.,"Centralized/coarse classes; not decentralized principals, contextual norms, or action permissions.",Intersection of arbitrary ACS permissions forms a related but distinct authority lattice; terminology should avoid implying a new monotonicity idea.,Foundational formal source for monotone label accumulation and lattice reasoning.,"Useful mathematical ancestor for lattice/monotonicity framing, but Conflux authority is derived from principal permissions rather than static data classes.","Useful mathematical ancestor for lattice/monotonicity framing, but Conflux authority is derived from principal permissions rather than static data classes.",High,High,Verified primary/bibliographic,Publication-safe metadata,https://doi.org/10.1145/360051.360056,N007; N031; L016,DLM; Biba; IFC agent defense,Foundational IFC/lattice citation.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N033,2002,Design of a Role-Based Trust-Management Framework (RT),Ninghui Li; John C. Mitchell; William H. Winsborough,Trust management / roles / delegation,"Family of role-based trust-management languages with localized role authority, linked and parameterized roles, delegation, threshold/separation-of-duty constructs, translated to Datalog.",RT credentials -> Datalog,Distributed credentials/roles,Combines RBAC and trust management with compact credential forms and tractable formal semantics.,No information-provenance/influence model or natural-language policy acquisition.,Role-based abstractions may hide resource/argument distinctions needed by agents unless parameterized roles are used carefully.,Rich formal role/delegation system relevant to ACS adapters and constrained delegation.,Useful for formal delegation semantics and provider-neutral ACS; Conflux should not reinvent role/delegation logic.,Useful for formal delegation semantics and provider-neutral ACS; Conflux should not reinvent role/delegation logic.,High,High,Verified primary,Publication-safe metadata,https://www.cs.purdue.edu/homes/ninghui/abstracts/rt_oakland02.html,N002; N005; N036; L029,PolicyMaker; Cassandra; Delegation Logic; RBAC,Delegation and distributed organizational authorization.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
